

2,Doxycycline,Doxycycline,Good
3,Montelukast,Montelukast Sodium,Poor
4,Cetirizine,Cetirizine Hydrochloride,Poor
5,Simvastatin,Simvastatin,Good
6,Prednisone,Prednisone,Good
7,Montelukast,Montelukast Sodium,Poor
8,Ibuprofen,Ibuprofen,Good
9,Hydrochlorothiazide,Hydrochlorothiazide,Good
10,Simvastatin,Simvastatin,Poor
11,Diphenhydramine,Diphenhydramine,Good
12,Ranitidine,Ranitidine,Good
13,Aspirin,Acetylsalicylic Acid,Good
14,Aspirin,Acetylsalicylic Acid,Good
15,Ciprofloxacin,Ciprofloxacin,Good
16,Hydrochlorothiazide,Hydrochlorothiazide,Good
17,Ciprofloxacin,Ciprofloxacin,Poor
18,Doxycycline,Doxycycline,Good
19,Ibuprofen,Ibuprofen,Poor
20,Ciprofloxacin,Ciprofloxacin,Poor
21,Prednisone,Prednisone,Good
22,Azithromycin,Azithromycin,Good
23,Simvastatin,Simvastatin,Good
24,Azithromycin,Azithromycin,Good
25,Amoxicillin,Amoxicillin,Good
26,Paracetamol,Paracetamol,Poor
27,Diphenhydramine,Diphenhydramine,Poor
28,Montelukast,Montelukast Sodium,Good
29,Paracetamol,Paracetamol,Good
30,Aspirin,Acetylsalicylic Acid,Poor
31,Metformin,Metformin Hydrochloride,Good
32,Ibuprofen,Ibuprofen,Poor
33,Ranitidine,Ranitidine,Poor
34,Montelukast,Montelukast Sodium,Poor
35,Azithromycin,Azithromycin,Good
36,Metformin,Metformin Hydrochloride,Good
37,Ciprofloxacin,Ciprofloxacin,Good
38,Diphenhydramine,Diphenhydramine,Good
39,Ciprofloxacin,Ciprofloxacin,Good
40,Omeprazole,Omeprazole,Good
41,Cetirizine,Cetirizine Hydrochloride,Good
42,Cetirizine,Cetirizine Hydrochloride,Good
43,Simvastatin,Simvastatin,Poor
44,Montelukast,Montelukast Sodium,Good
45,Ciprofloxacin,Ciprofloxacin,Good
46,Ibuprofen,Ibuprofen,Good
47,Azithromycin,Azithromycin,Poor
48,Losartan,Losartan Potassium,Good
49,Losartan,Losartan Potassium,Good
50,Ibuprofen,Ibuprofen,Good
51,Diphenhydramine,Diphenhydramine,Good
52,Losartan,Losartan Potassium,Good
53,Ibuprofen,Ibuprofen,Good
54,Paracetamol,Paracetamol,Good
55,Hydrochlorothiazide,Hydrochlorothiazide,Good
56,Prednisone,Prednisone,Good
57,Doxycycline,Doxycycline,Poor
58,Clopidogrel,Clopidogrel,Good
59,Omeprazole,Omeprazole,Good
60,Metformin,Metformin Hydrochloride,Good
61,Ibuprofen,Ibuprofen,Good
62,Amoxicillin,Amoxicillin,Good
63,Aspirin,Acetylsalicylic Acid,Good
64,Ciprofloxacin,Ciprofloxacin,Good
65,Amoxicillin,Amoxicillin,Good
66,Ibuprofen,Ibuprofen,Poor
67,Losartan,Losartan Potassium,Good
68,Clopidogrel,Clopidogrel,Good
69,Montelukast,Montelukast Sodium,Poor
70,Diphenhydramine,Diphenhydramine,Poor
71,Ranitidine,Ranitidine,Good
72,Simvastatin,Simvastatin,Good
73,Aspirin,Acetylsalicylic Acid,Good
74,Doxycycline,Doxycycline,Poor
75,Simvastatin,Simvastatin,Poor
76,Amoxicillin,Amoxicillin,Good
77,Diphenhydramine,Diphenhydramine,Good
78,Doxycycline,Doxycycline,Good
79,Losartan,Losartan Potassium,Good
80,Paracetamol,Paracetamol,Good
81,Cetirizine,Cetirizine Hydrochloride,Good
82,Paracetamol,Paracetamol,Good
83,Prednisone,Prednisone,Good
84,Ranitidine,Ranitidine,Good
85,Hydrochlorothiazide,Hydrochlorothiazide,Poor
86,Clopidogrel,Clopidogrel,Poor
87,Montelukast,Montelukast Sodium,Good
88,Cetirizine,Cetirizine Hydrochloride,Good
89,Ciprofloxacin,Ciprofloxacin,Good
90,Aspirin,Acetylsalicylic Acid,Good
91,Azithromycin,Azithromycin,Good
92,Doxycycline,Doxycycline,Good
93,Lorazepam,Lorazepam,Poor
94,Omeprazole,Omeprazole,Good
95,Simvastatin,Simvastatin,Good
96,Diphenhydramine,Diphenhydramine,Good
97,Tramadol,Tramadol,Poor
98,Omeprazole,Omeprazole,Poor
99,Ciprofloxacin,Ciprofloxacin,Poor
100,Losartan,Losartan Potassium,Good
101,Lorazepam,Lorazepam,Good
102,Simvastatin,Simvastatin,Poor
103,Ibuprofen,Ibuprofen,Good
104,Aspirin,Acetylsalicylic Acid,Good
105,Omeprazole,Omeprazole,Good
106,Metformin,Metformin Hydrochloride,Good
107,Azithromycin,Azithromycin,Good
108,Azithromycin,Azithromycin,Poor
109,Omeprazole,Omeprazole,Good
110,Diphenhydramine,Diphenhydramine,Good
111,Azithromycin,Azithromycin,Good
112,Prednisone,Prednisone,Good
113,Tramadol,Tramadol,Poor
114,Ciprofloxacin,Ciprofloxacin,Poor
115,Lorazepam,Lorazepam,Poor
116,Amoxicillin,Amoxicillin,Poor
117,Clopidogrel,Clopidogrel,Poor
118,Tramadol,Tramadol,Poor
119,Amoxicillin,Amoxicillin,Poor
120,Paracetamol,Paracetamol,Good
121,Paracetamol,Paracetamol,Poor
122,Azithromycin,Azithromycin,Good
123,Prednisone,Prednisone,Good
124,Clopidogrel,Clopidogrel,Poor
125,Simvastatin,Simvastatin,Good
126,Diphenhydramine,Diphenhydramine,Good
127,Azithromycin,Azithromycin,Good
128,Azithromycin,Azithromycin,Poor
129,Doxycycline,Doxycycline,Good
130,Losartan,Losartan Potassium,Good
131,Doxycycline,Doxycycline,Good
132,Diphenhydramine,Diphenhydramine,Good
133,Aspirin,Acetylsalicylic Acid,Good
134,Amoxicillin,Amoxicillin,Poor
135,Omeprazole,Omeprazole,Poor
136,Diphenhydramine,Diphenhydramine,Poor
146,Amoxicillin,Amoxicillin,Poor
147,Prednisone,Prednisone,Good
148,Ranitidine,Ranitidine,Good
149,Ibuprofen,Ibuprofen,Poor
150,Hydrochlorothiazide,Hydrochlorothiazide,Good
151,Cetirizine,Cetirizine Hydrochloride,Good
152,Ibuprofen,Ibuprofen,Good
153,Ibuprofen,Ibuprofen,Good
154,Montelukast,Montelukast Sodium,Good
155,Prednisone,Prednisone,Good
156,Losartan,Losartan Potassium,Poor
157,Amoxicillin,Amoxicillin,Good
158,Hydrochlorothiazide,Hydrochlorothiazide,Good
159,Clopidogrel,Clopidogrel,Good
160,Ranitidine,Ranitidine,Poor
161,Cetirizine,Cetirizine Hydrochloride,Poor
162,Azithromycin,Azithromycin,Good
163,Montelukast,Montelukast Sodium,Good
164,Lorazepam,Lorazepam,Good
165,Diphenhydramine,Diphenhydramine,Poor
166,Losartan,Losartan Potassium,Poor
167,Azithromycin,Azithromycin,Good
168,Tramadol,Tramadol,Good
169,Metformin,Metformin Hydrochloride,Poor
170,Simvastatin,Simvastatin,Good
171,Simvastatin,Simvastatin,Poor
172,Doxycycline,Doxycycline,Poor
173,Clopidogrel,Clopidogrel,Good
174,Montelukast,Montelukast Sodium,Good
175,Amoxicillin,Amoxicillin,Poor
176,Paracetamol,Paracetamol,Good
177,Simvastatin,Simvastatin,Good
178,Clopidogrel,Clopidogrel,Good
179,Montelukast,Montelukast Sodium,Good
180,Diphenhydramine,Diphenhydramine,Poor
181,Ibuprofen,Ibuprofen,Good
182,Azithromycin,Azithromycin,Good
183,Metformin,Metformin Hydrochloride,Good
184,Metformin,Metformin Hydrochloride,Poor
185,Azithromycin,Azithromycin,Poor
186,Omeprazole,Omeprazole,Good
187,Clopidogrel,Clopidogrel,Good
188,Doxycycline,Doxycycline,Poor
189,Paracetamol,Paracetamol,Good
190,Azithromycin,Azithromycin,Good
191,Simvastatin,Simvastatin,Good
192,Amoxicillin,Amoxicillin,Good
193,Clopidogrel,Clopidogrel,Poor
194,Aspirin,Acetylsalicylic Acid,Good
195,Ibuprofen,Ibuprofen,Good
196,Paracetamol,Paracetamol,Poor
197,Losartan,Losartan Potassium,Poor
198,Clopidogrel,Clopidogrel,Poor
199,Losartan,Losartan Potassium,Poor
200,Simvastatin,Simvastatin,Good
201,Ibuprofen,Ibuprofen,Good
202,Ciprofloxacin,Ciprofloxacin,Poor
203,Ciprofloxacin,Ciprofloxacin,Good
204,Ciprofloxacin,Ciprofloxacin,Poor
220,Doxycycline,Doxycycline,Poor
221,Paracetamol,Paracetamol,Good
222,Amoxicillin,Amoxicillin,Good
223,Ranitidine,Ranitidine,Good
224,Ibuprofen,Ibuprofen,Good
225,Ciprofloxacin,Ciprofloxacin,Poor
226,Montelukast,Montelukast Sodium,Good
227,Prednisone,Prednisone,Poor
228,Cetirizine,Cetirizine Hydrochloride,Good
229,Ranitidine,Ranitidine,Poor
230,Amoxicillin,Amoxicillin,Good
231,Hydrochlorothiazide,Hydrochlorothiazide,Good
232,Losartan,Losartan Potassium,Poor
233,Ibuprofen,Ibuprofen,Poor
234,Montelukast,Montelukast Sodium,Good
235,Paracetamol,Paracetamol,Good
236,Clopidogrel,Clopidogrel,Good
237,Prednisone,Prednisone,Good
238,Simvastatin,Simvastatin,Good
239,Aspirin,Acetylsalicylic Acid,Good
240,Tramadol,Tramadol,Good
241,Simvastatin,Simvastatin,Good
242,Prednisone,Prednisone,Poor
243,Clopidogrel,Clopidogrel,Good
244,Ciprofloxacin,Ciprofloxacin,Poor
245,Azithromycin,Azithromycin,Good
246,Omeprazole,Omeprazole,Good
247,Clopidogrel,Clopidogrel,Poor
248,Simvastatin,Simvastatin,Poor
249,Azithromycin,Azithromycin,Good
250,Montelukast,Montelukast Sodium,Poor
251,Ranitidine,Ranitidine,Good
252,Hydrochlorothiazide,Hydrochlorothiazide,Poor
253,Paracetamol,Paracetamol,Good
254,Montelukast,Montelukast Sodium,Good
255,Paracetamol,Paracetamol,Good
256,Lorazepam,Lorazepam,Good
257,Losartan,Losartan Potassium,Good
258,Ranitidine,Ranitidine,Good
259,Prednisone,Prednisone,Good
260,Metformin,Metformin Hydrochloride,Good
261,Ibuprofen,Ibuprofen,Poor
262,Paracetamol,Paracetamol,Good
263,Ciprofloxacin,Ciprofloxacin,Good
264,Ibuprofen,Ibuprofen,Poor
274,Aspirin,Acetylsalicylic Acid,Poor
285,Hydrochlorothiazide,Hydrochlorothiazide,Poor
286,Ibuprofen,Ibuprofen,Good
287,Clopidogrel,Clopidogrel,Poor
288,Montelukast,Montelukast Sodium,Good
289,Lorazepam,Lorazepam,Good
290,Montelukast,Montelukast Sodium,Poor
291,Lorazepam,Lorazepam,Poor
298,Azithromycin,Azithromycin,Poor
299,Aspirin,Acetylsalicylic Acid,Poor
300,Metformin,Metformin Hydrochloride,Poor
301,Omeprazole,Omeprazole,Good
302,Omeprazole,Omeprazole,Poor
310,Clopidogrel,Clopidogrel,Poor
311,Paracetamol,Paracetamol,Good
312,Diphenhydramine,Diphenhydramine,Good
313,Aspirin,Acetylsalicylic Acid,Poor
322,Amoxicillin,Amoxicillin,Poor
323,Montelukast,Montelukast Sodium,Good
324,Hydrochlorothiazide,Hydrochlorothiazide,Good
325,Losartan,Losartan Potassium,Poor
326,Cetirizine,Cetirizine Hydrochloride,Good
327,Azithromycin,Azithromycin,Poor
328,Azithromycin,Azithromycin,Good
329,Diphenhydramine,Diphenhydramine,Poor
330,Simvastatin,Simvastatin,Good
331,Doxycycline,Doxycycline,Good
332,Clopidogrel,Clopidogrel,Good
333,Diphenhydramine,Diphenhydramine,Good
334,Tramadol,Tramadol,Good
335,Azithromycin,Azithromycin,Good
336,Lorazepam,Lorazepam,Good
337,Montelukast,Montelukast Sodium,Poor
338,Diphenhydramine,Diphenhydramine,Good
339,Ciprofloxacin,Ciprofloxacin,Good
340,Ibuprofen,Ibuprofen,Good
341,Aspirin,Acetylsalicylic Acid,Good
342,Clopidogrel,Clopidogrel,Good
343,Montelukast,Montelukast Sodium,Good
344,Diphenhydramine,Diphenhydramine,Good
345,Amoxicillin,Amoxicillin,Poor
346,Paracetamol,Paracetamol,Good
347,Simvastatin,Simvastatin,Poor
348,Ranitidine,Ranitidine,Poor
349,Hydrochlorothiazide,Hydrochlorothiazide,Good
350,Ranitidine,Ranitidine,Poor
351,Prednisone,Prednisone,Good
352,Cetirizine,Cetirizine Hydrochloride,Poor
353,Tramadol,Tramadol,Good
354,Azithromycin,Azithromycin,Good
355,Cetirizine,Cetirizine Hydrochloride,Good
356,Lorazepam,Lorazepam,Good
357,Losartan,Losartan Potassium,Poor
358,Prednisone,Prednisone,Good
359,Cetirizine,Cetirizine Hydrochloride,Good
360,Losartan,Losartan Potassium,Good
361,Prednisone,Prednisone,Good
362,Losartan,Losartan Potassium,Good
363,Simvastatin,Simvastatin,Poor
364,Metformin,Metformin Hydrochloride,Poor
365,Omeprazole,Omeprazole,Poor
366,Ibuprofen,Ibuprofen,Poor
367,Clopidogrel,Clopidogrel,Good
368,Doxycycline,Doxycycline,Good
369,Omeprazole,Omeprazole,Good
370,Ciprofloxacin,Ciprofloxacin,Poor
371,Diphenhydramine,Diphenhydramine,Poor
372,Azithromycin,Azithromycin,Good
373,Amoxicillin,Amoxicillin,Poor
374,Tramadol,Tramadol,Poor
375,Cetirizine,Cetirizine Hydrochloride,Good
376,Aspirin,Acetylsalicylic Acid,Good
377,Prednisone,Prednisone,Poor
378,Ibuprofen,Ibuprofen,Good
379,Amoxicillin,Amoxicillin,Good
380,Azithromycin,Azithromycin,Poor
381,Cetirizine,Cetirizine Hydrochloride,Good
382,Paracetamol,Paracetamol,Poor
383,Losartan,Losartan Potassium,Poor
384,Losartan,Losartan Potassium,Good
385,Prednisone,Prednisone,Good
386,Ibuprofen,Ibuprofen,Good
387,Azithromycin,Azithromycin,Good
388,Tramadol,Tramadol,Good
389,Omeprazole,Omeprazole,Poor
390,Amoxicillin,Amoxicillin,Good
